Unnamed: 0,country,designation,points,price,title,variety,winery
85,Germany,Undone Dry,86,10.0,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,P.J. Valckenberg
86,US,,86,20.0,Palencia 2016 Albariño (Ancient Lakes),Albariño,Palencia
87,US,Blau Vineyards,86,55.0,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,Passaggio
88,Italy,Le Mandorle Riserva,86,29.0,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro
89,Italy,,88,19.0,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi
90,US,Siena,88,23.0,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano
91,US,,88,18.0,Folie à Deux 2015 Pinot Gris (Sonoma Coast),Pinot Gris,Folie à Deux
92,US,Magnificat,88,55.0,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan
93,Austria,,88,12.0,Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,Fuchs
94,US,Grand Klasse Reserve Lawrence Vineyards,88,22.0,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård
95,France,,88,20.0,Henry Fessy 2015  Juliénas,Gamay,Henry Fessy
96,France,,88,18.0,Henry Fessy 2015  Régnié,Gamay,Henry Fessy
97,US,Ingle Vineyard,88,20.0,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill
98,Italy,Dono Riserva,88,30.0,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi
99,US,Intreccio Library Selection,88,75.0,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards
100,US,,88,18.0,Ventosa 2015 Pinot Gris (Finger Lakes),Pinot Gris,Ventosa
101,US,Red Oak Vineyard,87,20.0,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
102,US,Yellow Dog Vineyard,87,20.0,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
103,Chile,Single Vineyard Falaris Hill,87,18.0,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Leyda
104,Italy,Nativo,87,16.0,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta
105,Italy,Villa Antinori,87,14.0,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori
106,Italy,Castiglioni,87,30.0,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi
107,Italy,Ammiraglia Massovivo,87,18.0,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Vermentino,Marchesi de' Frescobaldi
108,US,J.D. Hurley,87,26.0,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,Martin Ranch
109,Italy,Le Volte,87,30.0,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia
110,France,Les Quartelets,87,23.0,Pardon et Fils 2015 Les Quartelets  (Brouilly),Gamay,Pardon et Fils
111,US,Wolff Vineyard,87,85.0,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Piña
112,Italy,Semifonte,87,15.0,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona
113,Italy,Poetico,87,19.0,Poggioventoso 2015 Poetico White (Toscana),White Blend,Poggioventoso
114,US,BDX,87,18.0,Pull 2012 BDX Red (Paso Robles),Bordeaux-style Red Blend,Pull
115,US,,87,18.0,Pull 2013 Chardonnay (Paso Robles),Chardonnay,Pull
116,US,Camp 4 Vineyard,87,25.0,R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),Grenache Blanc,R2
117,US,Estate,87,44.0,Rideau 2014 Estate Syrah,Syrah,Rideau
118,Italy,Toscano,87,80.0,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi
119,France,Schoenenbourg Grand Cru Vendanges Tardives,92,80.0,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,Dopff & Irion
120,Italy,Bricco Rocche Prapó,92,70.0,Ceretto 2003 Bricco Rocche Prapó  (Barolo),Nebbiolo,Ceretto
121,US,Stuhlmuller Vineyard,92,36.0,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,Matrix
122,US,Rockpile Cemetary Vineyard,92,39.0,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),Zinfandel,Mauritson
123,Australia,Parson's Flat,92,40.0,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons
124,US,,92,45.0,Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Silverado
125,South Africa,Cabernet Sauvignon Reserve,91,45.0,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Le Riche
126,France,Vendages Tardives,91,48.0,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),Gewürztraminer,Pierre Sparr
127,France,Alsace One,91,13.0,Pierre Sparr 2008 Alsace One White (Alsace),White Blend,Pierre Sparr
128,France,,91,17.0,Kuentz-Bas 2008 Pinot Blanc (Alsace),Pinot Blanc,Kuentz-Bas
129,South Africa,Philosophers' Stone,91,25.0,Camberley 2004 Philosophers' Stone Red (Stellenbosch),Bordeaux-style Red Blend,Camberley
130,Italy,Bricco Rocche Brunate,91,70.0,Ceretto 2003 Bricco Rocche Brunate  (Barolo),Nebbiolo,Ceretto
131,France,Gentil,91,20.0,Dopff & Irion 2008 Gentil White (Alsace),Alsace white blend,Dopff & Irion
132,South Africa,Grand Reserve,91,30.0,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Delheim
133,Italy,,91,68.0,Poderi Luigi Einaudi 2003  Barolo,Nebbiolo,Poderi Luigi Einaudi
134,US,,91,78.0,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clark-Clauden
135,Italy,Sorano,91,60.0,Giacomo Ascheri 2001 Sorano  (Barolo),Nebbiolo,Giacomo Ascheri
136,France,,91,50.0,Lassègue 2003  Saint-Émilion,Bordeaux-style Red Blend,Lassègue
137,South Africa,Hope Marguerite,90,,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),Chenin Blanc,Beaumont
138,France,Crustacés,90,10.0,Dopff & Irion 2008 Crustacés White (Alsace),Alsace white blend,Dopff & Irion
139,France,Cuvée Jerémy Sélection de Grains Nobles,90,112.0,Kuentz-Bas 2007 Cuvée Jerémy Sélection de Grains Nobles Pinot Gris (Alsace),Pinot Gris,Kuentz-Bas
140,Italy,Costa Bruna,90,26.0,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla
141,Italy,Vigna dei Pola,90,45.0,Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),Nebbiolo,Giacomo Ascheri
142,US,,90,17.0,Banyan 2007 Riesling (Santa Lucia Highlands),Riesling,Banyan
143,France,Hunawihr Clos Windsbuhl,90,84.0,Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht
144,US,K Block,91,85.0,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine
145,US,Guidotti Vineyard,91,64.0,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
146,US,Family Reserve,91,68.0,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
147,US,Family Reserve,91,68.0,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
148,Germany,Dry,91,16.0,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Weingut Liebfrauenstift
149,US,Destruction Level,91,35.0,Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,Wrath
150,US,Ruth's Reach,91,25.0,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick
151,Portugal,Gerações Colheita Seleccionada Branco,91,30.0,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Portuguese White,Herdade Grande
152,US,Estate Reserve,91,55.0,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge
153,US,Old 900,91,46.0,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina
154,Spain,Single Vineyard Estate Bottled,91,50.0,Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Graciano,Marques de Griñon
155,US,,91,36.0,Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,Big Basin
156,Germany,Graacher Himmelreich Spätlese,91,14.0,Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel),Riesling,Carl Graff
157,Portugal,Grande Reserva Tinto,91,26.0,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa Vitória
158,Italy,Bellezza Gran Selezione,91,38.0,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano
159,Italy,Filo di Seta,91,,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Sangiovese,Castello Romitorio
160,France,,91,35.0,Château Vincens 2012 Malbec (Cahors),Malbec,Château Vincens
161,US,Mr. Nibbles,91,35.0,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars
162,US,Claiborne Vineyard,91,28.0,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Riesling,Claiborne & Churchill
163,France,Hospices Civils de Romanèche Thurins,91,,Collin-Bourisset 2011 Hospices Civils de Romanèche Thurins  (Moulin-à-Vent),Gamay,Collin-Bourisset
164,Chile,Condesa Real Premium Blend,91,29.0,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Conde de Velázquez
165,Chile,20 Barrels,91,32.0,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur
166,France,Charles de Batz,91,25.0,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),Tannat-Cabernet,Domaine Berthoumieu
167,US,,91,28.0,Dracaena 2013 Cabernet Franc (Paso Robles),Cabernet Franc,Dracaena
168,US,Rector Creek Vineyard,91,95.0,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,Duckhorn
169,US,Dutton Ranch,91,44.0,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
170,Germany,Brauneberger Feinherb,91,30.0,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Fritz Haag
171,Germany,,91,22.0,Fritz Haag 2014 Riesling (Mosel),Riesling,Fritz Haag
172,Chile,The 7th Generation Gran Reserva Estate Bottled,91,20.0,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,G7
173,US,,91,38.0,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau
174,New Zealand,,88,19.0,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Stoneleigh
175,Italy,De Silva,88,25.0,Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige),Sauvignon,Tenuta Peter Sölva & Söhne
176,Chile,Unusual Cabernet-Shiraz-Zinfandel,88,50.0,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,TerraMater
177,Italy,,88,22.0,Isole e Olena 2005  Chianti Classico,Sangiovese,Isole e Olena
178,US,Jack London Vineyard,88,25.0,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Syrah,Kenwood
179,France,Les Vénérables Vieilles Vignes,88,27.0,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne
180,US,Lucia Highland Vineyard,88,23.0,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Manzoni
181,US,Mission Ranch,88,36.0,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,McIntyre Vineyards
182,Italy,M. Vigna,88,,Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino),Sangiovese Grosso,Abbadia Ardenga
183,Argentina,,88,12.0,Alamos 2007 Torrontés (Salta),Torrontés,Alamos
184,US,,88,35.0,Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,Anaba
185,Chile,Envero Gran Reserva,88,15.0,Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley),Carmenère,Apaltagua
186,US,Wiley Vineyard,88,40.0,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Harrington
187,Italy,Montenero,88,48.0,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,Abbazia Santa Anastasia
188,Chile,Casa La Joya Reserve,88,11.0,Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),Merlot,Viña Bisquertt
189,Chile,Natura,87,11.0,Emiliana 2008 Natura Chardonnay (Casablanca Valley),Chardonnay,Emiliana
190,Italy,Campole,87,26.0,Fattoria Alois 2007 Campole Red (Campania),Red Blend,Fattoria Alois
191,Australia,The Trial of John Montford,87,30.0,Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon (Padthaway),Cabernet Sauvignon,Henry's Drive Vignerons
192,Italy,Le Pietre Santambrogio,87,20.0,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,Aldegheri
193,France,,87,35.0,Bertrand Ambroise 2006  St.-Romain,Chardonnay,Bertrand Ambroise
194,Italy,,87,,Campomaggio 2005  Chianti Classico,Sangiovese,Campomaggio
195,Italy,Riserva,87,35.0,Carpineto 2003 Riserva  (Vino Nobile di Montepulciano),Prugnolo Gentile,Carpineto
196,Italy,Pancole,87,18.0,Cesani 2007 Pancole  (Vernaccia di San Gimignano),Vernaccia,Cesani
197,South Africa,21 Gables,90,23.0,Spier 2014 21 Gables Chenin Blanc (Western Cape),Chenin Blanc,Spier
198,US,Four Soil Mélange,90,60.0,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum
199,US,Rising Starr Estate Bottled,90,28.0,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,Sierra Starr
200,Italy,Riserva,90,,Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino),Sangiovese,Tenuta di Sesta
201,Italy,Nova Domus Riserva,90,62.0,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Terlan
202,Israel,,90,50.0,Yatir 2011 Syrah (Judean Hills),Syrah,Yatir
203,Portugal,Montes Claros Garrafeira,90,28.0,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo),Portuguese Red,Adega Cooperativa de Borba
204,US,Gesture,90,30.0,J. Lohr 2014 Gesture G-S-M (Paso Robles),G-S-M,J. Lohr
205,US,October Night,90,25.0,J. Lohr 2015 October Night Chardonnay (Arroyo Seco),Chardonnay,J. Lohr
206,US,,90,25.0,Courtney Benham 2014 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Courtney Benham
207,US,Home Ranch Teldeschi Vineyards Century Old Vine,90,32.0,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Zinfandel,Del Carlo Winery
208,South Africa,Reserve,90,40.0,Delaire Graff 2013 Reserve White (Coastal Region),White Blend,Delaire Graff
209,France,,90,16.0,Domaine St Pierre 2014 Red (Côtes du Rhône),Rhône-style Red Blend,Domaine St Pierre
210,South Africa,,90,20.0,Eikendal 2014 Chardonnay (Western Cape),Chardonnay,Eikendal
211,France,Les Christins,90,32.0,Famille Perrin 2013 Les Christins Red (Vacqueyras),Rhône-style Red Blend,Famille Perrin
212,Spain,Fermentado en Barrica,90,40.0,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,Matarromera
213,US,1105,90,48.0,MCV 2014 1105 Red (Paso Robles),Red Blend,MCV
214,US,Verah,90,36.0,Mounts 2014 Verah Red (Dry Creek Valley),Rhône-style Red Blend,Mounts
215,Israel,French Blend,90,80.0,Or Haganuz 2014 French Blend Red (Galilee),Bordeaux-style Red Blend,Or Haganuz
216,Italy,,90,57.0,Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,Podere Scopetone
